symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"α","C9TaRCXNNs72tAN2UsUqmoQp5LDZrPrM22vv6auTpump","75","6.913580246","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002106","","","","","","","2026-07-17T07:58:09.051Z","","","","","",""
"Jimothy","3zfQ2xTuAxrZoLJq7arR9PRkGcmiysF2SEfS35qRpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002185","","","","","","","2026-07-17T07:58:15.620Z","","","","","",""
"bully","HfJDBCnLgFoXMAoQsAaNhT2RpSe7u9d2pAWd3o1Bpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.451e-7","","","","","","2026-07-17T07:58:16.029Z",""
"NUX","DJsMwSY1UBPuVvt3JMqJz1fvTPHUxtusiJrG7NxAK5Hr","57","1.97530864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002088","","","","","","","2026-07-17T07:58:16.510Z","","","","","",""
"NUX","Agptzj2kB8cx6mZRy15cLbYLyo6yqUKBW9SKQVKGpump","63","3","","","","","","","0","0","-4.5","916","3","0","0","0","0","0","2185.89","3","617.32","617.32","0.571","0.571","-13.5","","0","0","1","0","0","","","","","","","0.000002185","0.000002185","","","","","","2026-07-17T07:58:26.795Z","2026-07-17T07:59:26.377Z","","","","",""
"AETHERION","6yLRMrjVUwaE14DUqbtxwJUL5PzBgUfjiMkExvSpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000218","","","","","","","2026-07-17T07:58:35.605Z","","","","","",""
"cupin ","B7KqE4vidP24jrE86a8aq1S7X876XXQmcvDzYwbUpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.694e-7","","","","","","2026-07-17T07:58:36.184Z",""
"Gecko","FJBn39YVfmmQ5osKEuMUGuQKCpE3L2TpSPcwd3YJpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002185","","","","","","","2026-07-17T07:58:46.496Z","","","","","",""
"SOB","sobsH3nvr6KwPrZqGLCdYeXoEZ39wrvUuBkUAr3nx8v","79","9","","47.778","","","","","0","0","-73.7","148","9","0","0","0","0","0","8871.02","3","15410.3","15410.3","0.688","0.688","151","","1","1","1","0","1","-12.309773419005756","","","","","","0.000006852","0.000008871","","","0.000007779","","","2026-07-17T07:59:02.924Z","2026-07-17T08:00:14.205Z","","","2026-07-17T08:01:01.983Z","",""
"AHEGAO","HrNYWts1d8eputY99ix9DzadapcHXa4YNTpsvrdhpump","68","0.246913579","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001663","","","","","","8.043e-8","2026-07-17T07:59:07.565Z","","","","","2026-07-17T07:59:38.208Z",""
