symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"PVE","Ev7fZM2yUWPPoj92qzp3tKifqgTNrMjVQyj35gqWpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002245","","","","","","","2026-07-11T16:02:39.098Z","","","","","",""
"FOX6969","GcHvRARo4TDKtaqWDY3vvGSeMuykybuQGw6RcNBGpump","70","4.938271603","","","","","","","3.5","184","-3.5","914","4.938271603","0","0","0","0","3215.39","3","499.95","499.95","0.75","0.75","8.18","","0","0","1","0","","","","","","","0.000003215","0.000003215","","","","","","2026-07-11T16:02:44.491Z","2026-07-11T16:03:14.365Z","","","","",""
"$TEST ","G8FTgz4tHU1QNjTMmCxiGyMpR7EzSysu9Mz38Dj7pump","64","1.400000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002429","","","","","","","2026-07-11T16:02:51.601Z","","","","","",""
"Ansbull","7QeKgjZWeHriypoo4CFdR9BCX2UDuCQhLLwF7Utopump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.06e-7","","","","","","2026-07-11T16:02:51.959Z",""
"febu","BSsyrcsxvBoNcWaLF9efWnJUFQ8LKx9MwkRqcDr6pump","86","3.333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002777","","","","","","","2026-07-11T16:02:57.160Z","","","","","",""
"PROFIT","4o2KZe5CC2VLjn5uqyLT1Eox9GW27285TeuKzXRnpump","65","0.98765432","","","","","","","0","0","-0.2","904","0.98765432","0","7","1","0","27872.54","3","1904.83","1904.83","0.597","0.597","1093","","0","0","1","0","","","","","","","0.00002787","0.00002787","","","","","","2026-07-11T16:03:09.246Z","2026-07-11T16:04:14.347Z","","","","",""
"Ansbull","EnBaNKfdUZuZVLXJCxQUxcQaQj38VM72YBURRZkVpump","60","2","","","","","","","0","0","0","912","2","0","68","1","0","4780.33","4","1243.32","1243.32","0.632","0.632","91.77","","0","0","1","0","","","","","","","0.000004791","0.00000478","","","","","","2026-07-11T16:03:27.080Z","2026-07-11T16:05:26.518Z","","","","",""
"WOJAK","DHeiPWGpkqCpXXgiLT4HuDnsSNMN8bVpTvzZrpT6pump","86","3.333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002557","","","","","","","2026-07-11T16:03:33.101Z","","","","","",""
"Mbull","G1QH8aYm3EDquHtLvPz1ZcBdxbb5dzPe5GMWY4Xjpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.486e-7","","","","","","2026-07-11T16:03:45.494Z",""
"SMART","73LfMYimYx9FNGpAFottFhPnbqNGtkF7RcMaSFQqpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.599e-7","","","","","","2026-07-11T16:03:45.905Z",""
"Ansbull","6cbGhoJUYpXuykk4SgTezo27tXPE8CRwFx2XsPJJpump","60","2","","","","","","","0.2","36","-0.3","906","2","0","69","1","0","5710.37","3","1351.33","1351.33","0.6","0.6","129","","0","0","1","0","","","","","","","0.00000571","0.00000571","","","","","","2026-07-11T16:04:03.120Z","2026-07-11T16:05:02.315Z","","","","",""
"LAWAS","7rN4HSQwDXsQ4GyijHveuTHAmzMR7SguFRwYThYppump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.981e-7","","","","","","2026-07-11T16:04:09.103Z",""
"$TEST ","v5obeg3hAoc5wXaH4TBTNS1qSQQdU6J2C1cjYSqpump","65","1.500000001","","","","","","","0","0","0","912","1.500000001","1","40","1","0","7125.23","3","767.58","767.58","0.889","0.889","195","","0","0","1","0","","","","","","","0.000007125","0.000007125","","","","","","2026-07-11T16:04:27.131Z","2026-07-11T16:05:26.291Z","","","","",""
"Ansbull","4h3Vebe5AYceterqSVsYwANUT3hGCJQ7EfJGjdi2pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.084e-7","","","","","","2026-07-11T16:04:33.642Z",""
"NUTSY","652qZc1Bu9BJocZG4Ms1ydWezDpAogJVahYdmW3cpump","70","4.938271603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000223","","","","","","","2026-07-11T16:04:46.371Z","","","","","",""
"fepe","FcbvEDj2DZBbEghkAjeDQaFzcjHd1q2rxw7iruiapump","99","8.000000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002228","","","","","","","2026-07-11T16:04:46.738Z","","","","","",""
"PROFIT","7QAyHTjDQ4FKeFQox76mpLJ89182gbfBDKiDFN9Qpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.258e-7","","","","","","2026-07-11T16:04:47.149Z",""
"ACT","2AZpWpdyBDRbt8diNonozr4riPDkAmeLomUEotBypump","86","3.333333333","","","","","","","0","0","0","912","3.333333333","0","0","1","0","67693.01","3","10396.64","10396.64","0.582","0.582","3145","","0","0","1","0","","","","","","","0.00001234","0.00006769","","","","","","2026-07-11T16:04:47.539Z","2026-07-11T16:05:56.543Z","","","","",""
"$TEST ","6PtAw3P6CSEYnsfd9oFMnrsqr93forqGgsK71mGrpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.322e-7","","","","","","2026-07-11T16:05:51.124Z",""
"CARDS","57hZzZTQeavinWKf2MCyk1ePTFyUAd7wtGiHar4Vpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001281","","","","","","2026-07-11T16:05:57.142Z",""
"PROFIT","DLYXagySQkQ2qwutBXhCsrm9EbXTcTs6QaXKVQj4pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.591e-7","","","","","","2026-07-11T16:06:03.108Z",""
"$TEST ","Aor2iNyRhS9frVLYw7F5sBaqbwcYUfjDsWtkxoA5pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.556e-7","","","","","","2026-07-11T16:06:33.104Z",""
"SKYCAT","EogkStZrXuSuVK4AumLorrHF881DkVxyv3RxRsncpump","74","0.200000001","","","","","","","0","0","0","918","0.200000001","1","9","1","0","11215.68","3","5402.63","5402.63","0.604","0.604","406","","0","0","1","0","","","","","","","0.000004002","0.00001121","","","","","","2026-07-11T16:06:51.511Z","2026-07-11T16:07:50.329Z","","","","",""
"Ansbull","DyweWCZMoWudaBbaoSgHaiaeZJarzCxHSMx9wV33pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.101e-7","","","","","","2026-07-11T16:06:51.895Z",""
"BaNaNa","Bqcn6FN6FqptxngXJgRwKsyESHBAqaDk2Gg3njZfpump","68","0.197530863","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001926","","","","","","0.000001299","2026-07-11T16:07:15.130Z","","","","","2026-07-11T16:07:56.489Z",""
"$TEST ","HMhkXK3JaMK3QNY9NbgAibyTvdh6NWdhd31W2SvDpump","64","1.500000001","","42.049","","","","","0","0","-0.2","904","1.500000001","1","43","1","0","14290.98","3","12337.8","12337.8","0.576","0.576","493","","0","0","1","0","-83.51994401679495","","","","","","0.000006561","0.00001429","","","0.000002355","","","2026-07-11T16:07:27.133Z","2026-07-11T16:08:44.509Z","","","2026-07-11T16:09:26.558Z","",""
"adk","57PsDFQ79qf5qDjs5NjxWq1Daozgp7HxFXWkiY1cpump","66","0.100000001","","","","","","","41.8","204","0","904","0.100000001","0","0","1","0","1785.08","4","79.18","79.18","0.564","0.564","-18.92","","0","0","1","0","","","","","","","0.00000226","0.000001785","","","","","","2026-07-11T16:07:39.180Z","2026-07-11T16:09:44.309Z","","","","",""
"damdam","DPYKZFEDYvNSHM8DFp7xy7nt3F2tHq4dVqEFDjwxpump","63","2.999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002342","","","","","","","2026-07-11T16:07:45.110Z","","","","","",""
"$TEST ","8FtyA5sKVSF9T8XPVVsndpvUudQ37gD9arAic8vjpump","63","1.500000001","","","","","","","0","0","0","918","1.500000001","1","44","1","0","5333.11","3","633.05","633.05","0.778","0.778","121","","0","0","1","0","","","","","","","0.000005333","0.000005333","","","","","","2026-07-11T16:08:21.946Z","2026-07-11T16:09:20.306Z","","","","",""
"SOL999","76soaiviuoWoLcj8HyRHegGDPTNfMs43RHe8uKFkpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.983e-7","","","","","","2026-07-11T16:08:22.324Z",""
"BOSS","4ganRZ2kwYcZkqbVJ2kim3erg8zMcSjBH27nptNpHZ6g","72","11.85185185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002639","","","","","","0.000002186","2026-07-11T16:08:22.741Z","","","","","2026-07-11T16:09:02.513Z",""
"Ansbull","E5EvFqNF4A2e1bdLi6XYJUF3NXDFY1UTJA7Ctuxhpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.627e-7","","","","","","2026-07-11T16:08:33.099Z",""
"BullCat","3YC7Ww3jsZnpuCYUqkhn772FM4Tihu8Wdvog5M9Bpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001155","","","","","","2026-07-11T16:08:57.918Z",""
"PIKA","8Co4W6gFHGehp6zyLAC7x1tidniGdH6uKrPRZgiNpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.795e-7","","","","","","2026-07-11T16:09:21.139Z",""
"Ansbull","HmSkYMduzEh2vFYKwBNspYdqFf1Yb83om5ETnpNbpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.499e-7","","","","","","2026-07-11T16:09:27.147Z",""
"ANSEM","7erHQVXnjuwkXjRj13zJqubG6yuBwTuMeKFPWduHpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.992e-7","","","","","","2026-07-11T16:09:33.116Z",""
"CASTCAT","4vgJxhkLUqQjHWiWcN4TwH6SP1RNiqKPXFeJLzuapump","","","","","","","","","0","0","-41.9","902","9.382716048","0","0","0","0","3769.33","3","734","734","1","1","0","","0","0","1","0","","","","","","","","0.000003769","","","","","","","2026-07-11T16:09:56.279Z","","","","",""
"$TEST ","2KdndwJDj4gJqQmWfzgGtDsc76h1BKJuf6jMzuChpump","63","1.500000001","","","","","","","0","0","0","916","1.500000001","1","45","1","0","4175.35","3","525.72","525.72","0.556","0.556","73.3","","0","0","1","0","","","","","","","0.000004175","0.000004175","","","","","","2026-07-11T16:10:03.192Z","2026-07-11T16:11:02.308Z","","","","",""
"PVE","G4nDwVaeP6S33Zvbf3YuE8AQs5xru8y57d1J1Qj3pump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002185","","","","","","","2026-07-11T16:10:27.090Z","","","","","",""
"cat","2d6t3fAyDXyDfR67w9spgQXJc5zrnDqG1RpieHHCpump","63","2.999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002196","","","","","","","2026-07-11T16:10:33.092Z","","","","","",""
"three","J5iqtv5wuLKEN5yE4JxRw3wNDqytQGaWmQgkFRGWpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.352e-7","","","","","","2026-07-11T16:10:45.098Z",""
"Joby","HGXBzZ4udKzuNkWzNnzgRnfcc9gq6izxDqbWmfJApump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.784e-7","","","","","","2026-07-11T16:11:45.101Z",""
"PIKA","Aaepm691FTbMhN9oooaTYcrFm6B52mACtWX98Mxbpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.245e-7","","","","","","2026-07-11T16:12:27.524Z",""
"SAYLOR","Hy5Z9PuRTxsHKRqK7hrkFoVsS3RFKzbfvScnKNd6pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.447e-7","","","","","","2026-07-11T16:12:27.911Z",""
"Kim","768XveqDUSfzLJeVtWhoNmVh1yzzRsTdUoNZWLebpump","63","2.999999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002187","","","","","","","2026-07-11T16:12:45.092Z","","","","","",""
"MCGOD","8dS6mpWHbzUvkJMPkwDyYrG7ZW2RzCXxCguVVqsepump","","","","","","","","","13.4","496","0","906","3.012345678","0","0","1","0","3265.7","3","290","290","1","1","23.37","","0","0","1","0","","","","","","","","0.000003265","","","","","","","2026-07-11T16:13:02.286Z","","","","",""
"Buttcoin","5Jd3SpNh7pHNaNn9jEzXjcdYwJq84o5QqcAdHmeMpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.82e-7","","","","","","2026-07-11T16:13:21.149Z",""
"Houston","76nW68d6MXpvZgESoZvmzUADtZbmGuBcsX4qUDLUpump","60","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0000022","","","","","","","2026-07-11T16:13:27.140Z","","","","","",""
"WLTDAY","DSFuxt9P6vMrf1tkQ1ZGEyM8mf7s9msQCMxB8Ktbpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001267","","","","","","2026-07-11T16:13:33.149Z",""
"CHOOD","EszTJLvRWTbZopigu5VHqfWHHoeHn1UoJX4hwEPcpump","62","0.100000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001588","","","","","","0.000001099","2026-07-11T16:13:45.105Z","","","","","2026-07-11T16:15:02.508Z",""
"Fukgenzig","64F1SqoHtdhciRXBEnfdmCBMfDWUvEo9PBfzH6JJpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.755e-7","","","","","","2026-07-11T16:13:51.104Z",""
"OPAL","3Ca3kmFsnh7jSDkchTtwgEdG6ymd9BnzTnHBBL87pump","89","4.615384615","","222.101","","","","","0","0","0","910","4.615384615","0","0","1","0","6463.98","3","2214.15","2214.15","0.692","0.692","106","","0","0","1","0","0","","","","","","0.000006463","0.000006463","","","0.000006463","","","2026-07-11T16:14:03.071Z","2026-07-11T16:15:08.308Z","","","2026-07-11T16:18:50.409Z","",""
"חתול","J8rcTZ2ZsdWLCxMFRxYrD44QSiq1JsHdhKSZHzgApump","100","2.999999999","","89.937","","","","","43.5","6","-80","156","2.999999999","1","1","0","0","8270.48","3","10823.03","10823.03","0.623","0.623","213","","0","0","1","0","-13.180169286578","","","","","","0.000007574","0.00000827","","","0.00000718","","0.000002377","2026-07-11T16:14:27.201Z","2026-07-11T16:15:32.346Z","","","2026-07-11T16:17:02.283Z","2026-07-11T16:18:14.281Z",""
"void","5qMypuGtA25PFBN2CqULPMiJZktASGKygBKymTVXpump","70","4.938271603","","42.116","","","","","0","0","-70.2","540","4.938271603","0","0","0","0","9524.33","3","14078.67","14078.67","0.662","0.662","221","","0","0","1","0","-23.425031499370014","","","","","","0.00000921","0.000009524","","","0.000007293","","0.000002875","2026-07-11T16:14:33.150Z","2026-07-11T16:15:38.376Z","","","2026-07-11T16:16:20.492Z","2026-07-11T16:18:44.280Z",""
"HeavyPulp","2KKzUtSSDQdwoUVE11pUDynBQoUN9JYmWKtpZu1npump","89","4.615384615","","","","","","","0","0","0","910","4.615384615","0","0","1","0","1475.19","3","2608.35","2608.35","0.569","0.569","-29.46","","0","0","1","0","","","","","","","0.000001475","0.000001475","","","","","","2026-07-11T16:14:39.105Z","2026-07-11T16:15:38.342Z","","","","",""
"FELU","FhHQoEhhumURyR4SWbH7z1H2Lp9Y771j9NjXDJappump","66","4.938271603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002433","","","","","","","2026-07-11T16:14:51.088Z","","","","","",""
"BULL","86u8jXWjoAhhtXigEJPaXqBWLDs3esMULJBc3wXZpump","63","2.962962961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002189","","","","","","","2026-07-11T16:15:15.103Z","","","","","",""
"world","FXzPJMA6bTvsEUUmhKgqcoBCTkSQH46HosCEbNUppump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.865e-8","","","","","","2026-07-11T16:15:27.095Z",""
"him","A2o5tTzVQBM4FvPtDYyW2GpJKPKUX7wYqAyVsJNspump","63","2.962962961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002199","","","","","","","2026-07-11T16:16:03.106Z","","","","","",""
"ANSEM","9LYdU1Ne3Eco5f6QsA3ykTu4Zr6C9uujJZ77NzDvpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.023e-7","","","","","","2026-07-11T16:16:09.110Z",""
"Ribling","Aput4zbHuEfiDGVjrJ9U9dRfKZXoyDz6chUGxAXydwKh","63","3.950617282","","83.809","","","","","25.5","328","-72.5","928","3.950617282","0","1","0","0","6693.28","4","5932.34","5932.34","0.653","0.653","139","","0","0","1","0","-31.27147766323024","","","","","","0.000002246","0.000006693","","","0.0000046","","","2026-07-11T16:16:45.079Z","2026-07-11T16:18:50.483Z","","","2026-07-11T16:20:14.292Z","",""
"CBDC","CgswT6bQMpedonvBEWLivhzadUf4g8PJY4UV6x2Cpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.815e-7","","","","","","2026-07-11T16:16:51.155Z",""
"THEA","7jeRqeXxQjDbWK5TwTYpSj7gbuSvWPym6vDioq7ypump","70","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000238","","","","","","","2026-07-11T16:17:33.154Z","","","","","",""
"CHANCE","EhdVJ3p1E69UWvriHRzQspJT3jVeBAR2pRzMRXC1pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.551e-8","","","","","","2026-07-11T16:17:45.158Z",""
"TSSS","HbD21BSS2fCKiQhdf1UgUb1Y8EwKXkcpVr7ro2UYpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.308e-7","","","","","","2026-07-11T16:18:03.542Z",""
"OFF$IDE","B5WPxPsF6Qq62fawgPHeF3a2k1c3813r8i1ELdY6pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.458e-8","","","","","","2026-07-11T16:18:15.091Z",""
"PFP","A3K3Er6Qnn19JwG9XzvnPV5BPUV59tDpjZbcWyD5pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.783e-7","","","","","","2026-07-11T16:18:21.366Z",""
"KITTY","AxAet9LGwiLtaJomavqRQ2GsbEu1SDuJks5XhxZupump","89","4.615384615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001678","","","","","","","2026-07-11T16:18:39.092Z","","","","","",""
"PUDGY","qrmoQjgcVTgV3FMybRP2Bm7YfGPZmD6DQWtEia6pump","60","2.469135801","","","","","","","1.8","280","0","930","2.469135801","0","0","0","0","2561.43","3","199.36","199.36","0.667","0.667","0","","0","0","1","0","","","","","","","0.000002578","0.000002561","","","","","","2026-07-11T16:19:56.563Z","2026-07-11T16:19:08.403Z","","","","",""
"BAIT","8jLU1HA3yHyJ2u6vuTiXsA3ohLsuBqEECt3x7MU4pump","79","9.113001215","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003717","","","","","","0.000002188","2026-07-11T16:19:57.201Z","","","","","2026-07-11T16:20:38.532Z",""
"Mexi","2NMbPKbkktZJTXeMGMi62zP5MBRrR29e2zGSt9iXpump","73","6.000000001","","","","","","","0","0","-2.5","908","6.000000001","0","0","0","0","2242.83","3","1437.65","1437.65","0.667","0.667","-28.78","","0","0","1","0","","","","","","","0.000002242","0.000002242","","","","","","2026-07-11T16:20:21.185Z","2026-07-11T16:21:20.345Z","","","","",""
"drooling","ApKEtVvhr8J7cJCFaWjYxwDBjzxkfqE1yDDKqtqRpump","89","4.615384615","","","","","","","0","0","0","918","4.615384615","0","0","1","0","3003.17","3","1275.95","1275.95","0.7","0.7","-10.4","","0","0","1","0","","","","","","","0.000003002","0.000003003","","","","","","2026-07-11T16:20:51.139Z","2026-07-11T16:21:50.295Z","","","","",""
"neet","2ydLwXkuQCLY1sgAUZ2WmXP6qYiyFs6Uj5gcsJeepump","89","4.615384615","","","","","","","0","0","0","930","4.615384615","0","0","1","0","10151","3","4194.55","4194.55","0.647","0.647","316","","0","0","1","0","","","","","","","0.00001015","0.00001015","","","","","","2026-07-11T16:21:39.132Z","2026-07-11T16:22:38.323Z","","","","",""
"Truth","5jY6VXtvrrq2Zi2rjwNhC8ewQaSQJs4n3xeLNUx4pump","99","19.753086419","","","","","","","1.5","34","-64.8","904","19.753086419","1","3","0","0","13100.53","3","28192.33","28192.33","0.665","0.665","118","","0","0","1","0","","","","","","","0.00001299","0.0000131","","","","","","2026-07-11T16:21:45.111Z","2026-07-11T16:22:44.279Z","","","","",""
"CHOOD","BD68CbSssWRh6CZxiEa66LnGo1VRRy8nEcMjM2tbpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.026e-7","","","","","","2026-07-11T16:21:57.081Z",""
"Ribling","aP9PkRsXAvVWKswaahwAgqiNwzNSV73sNjizNc8pump","67","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002186","","","","","","","2026-07-11T16:22:21.145Z","","","","","",""
"nub","23NJPpgRofbJUtNtUhVHj57JtTV1pySBeRwT271Vpump","89","4.615384615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000003857","","","","","","9.646e-7","2026-07-11T16:22:27.092Z","","","","","2026-07-11T16:23:44.558Z",""
"CASHWIF","EA86cnZDD7QVBEDfUKqh9GrdTfFgiqtTF8hifiNvpump","76","7.057777776","","","","","","","332.9","426","-87.4","916","7.057777776","0","0","0","0","3992.62","3","823.02","823.02","1","1","19.63","","0","0","1","0","","","","","","","0.000003992","0.000003992","","","","","","2026-07-11T16:22:33.484Z","2026-07-11T16:23:32.307Z","","","","",""
"F4","FW5QkV7uJnMRmC3BbhpnTLAzLmKjw9uVHS6nUsKVpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.283e-7","","","","","","2026-07-11T16:22:33.943Z",""
"TRUMP","5Kmm8VqkMs8VJm5xguGFeBv29TVkrTk8w8MV2yWRpump","89","4.615384615","","","","","","","0","0","0","916","4.615384615","0","0","1","0","2747.11","3","1462.77","1462.77","0.6","0.6","-14.88","","0","0","1","0","","","","","","","0.000002747","0.000002747","","","","","","2026-07-11T16:23:03.477Z","2026-07-11T16:24:02.290Z","","","","",""
"KARMA","HixByPrNMyjJj39rfPQxkSm2y72xoAYVepMh7KqJpump","72","5.500000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000004012","","","","","","","2026-07-11T16:23:03.907Z","","","","","",""
"PENGU","H7cpiRtWfUGW8r8aC8z5ARLaexsUP3y99Feqpbr4pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.354e-7","","","","","","2026-07-11T16:23:39.145Z",""
"Cozy","7dMQWa2QW8U42BFQBHriMWxwJLufL939pezXBZfipump","85","14.814814813","","","","","","","140.1","142","-81.7","902","14.814814813","0","0","0","0","7376.86","3","26532.73","26532.73","0.594","0.594","51.24","","0","0","1","0","","","","","","","0.000006706","0.000007376","","","","","","2026-07-11T16:23:57.152Z","2026-07-11T16:24:56.292Z","","","","",""
"TBB","CkgKUKWa6YBE6kuH2bdaXGNK6sLcdajHwYZHHCJ7pump","89","4.615384615","","","","","","","0","0","0","908","4.615384615","0","0","1","0","3233.44","3","1058.51","1058.51","0.583","0.583","6.46","","0","0","1","0","","","","","","","0.000003233","0.000003233","","","","","","2026-07-11T16:24:15.082Z","2026-07-11T16:25:20.313Z","","","","",""
"Jotchua","51VKEHgr6rp5yAfS7UAxnXAWtZG5d9EtXeAKtL8apump","89","4.615384615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002552","","","","","","","2026-07-11T16:24:51.212Z","","","","","",""
"Maggot","AXxUd6hxkNdan42r2UiVTmybGLLWzDKg7rYzARRLpump","61","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002243","","","","","","","2026-07-11T16:24:57.494Z","","","","","",""
"CEASEFIRE","3rFBLkJVYmydRPBmB2Wt6bamry5oExdtKDhQ1yuqpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.877e-7","","","","","","2026-07-11T16:24:57.916Z",""
"BAB","86e6JK1pphUaqxjYztfxNYEsausNVJUxb36XS5ojpump","68","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002306","","","","","","","2026-07-11T16:25:03.574Z","","","","","",""
"Maggot","5pJ8hDtttZ9HHbCXVwHEv3JcuJAnqVaMSywkjN7Mtz6v","63","5.599999999","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000229","","","","","","","2026-07-11T16:25:03.964Z","","","","","",""
"MAGGOT","2E5qdnHhAgjxgHNndn7WRsw5KVN7uPAbWakBnaDdTPZT","70","4.938271603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002183","","","","","","","2026-07-11T16:25:16.025Z","","","","","",""
"B&B","DBmCPmiusMU2Ut8YFqG5pXrXnx1iYBGbdTFPdm1npump","62","4.938271603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002185","","","","","","","2026-07-11T16:25:16.527Z","","","","","",""
"MAGGOT","AJJcNmyi9x9PaZTPALXCE7bPdBTgrTE18XntTwNhpump","68","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002188","","","","","","","2026-07-11T16:25:16.797Z","","","","","",""
"AntiAnsem","AGanyR7sZNGEF1i1PgJUvFWfMCLtrbLqfAQLAx6Apump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.582e-8","","","","","","2026-07-11T16:25:21.220Z",""
"KINS","8aQsExGg9y6kKEnTeruXEAfMWdxTUjzW2wcjk9irpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001564","","","","","","2026-07-11T16:25:33.066Z",""
"febcat","6XRiC6FPv7442LZhqvozVnnA1jogmGf5sV2nu532pump","63","2.962962961","","24.197","","","","","0","0","-19.5","908","2.962962961","0","0","0","0","2716.57","3","1575.62","1575.62","0.718","0.718","2.74","","0","0","1","0","-18.04123711340206","","","","","","0.000002496","0.000002716","","","0.000002226","","","2026-07-11T16:25:45.125Z","2026-07-11T16:26:50.292Z","","","2026-07-11T16:27:14.489Z","",""
"PAC","6ACuHmNLxn548YkaNGxB5sPg4eH4wdmcJ1FFPUkopump","76","0.500000001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000001441","","","","","","8.676e-7","2026-07-11T16:26:27.187Z","","","","","2026-07-11T16:27:14.503Z",""
