symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,peaked_after_exit,peak_after_exit_s,drag_at_ready,upside_from_ready,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"acat","3wAP7BCdGPDFPnzQsar7aJqaUcqaFqj2paP57XWQpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002165","","","","","","","2026-07-31T08:30:11.051Z","","","","","",""
"acat","4b9msfS6CwWs6tmPPtRL3cQQF4L5WYWAQXnjQigdpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002832","","","","","","","2026-07-31T08:30:11.055Z","","","","","",""
"CH","Djx4RQStiUHx3pZrvAz6paFNa6qnRpNwBcziHfv4pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.156e-7","","","","","","2026-07-31T08:30:22.934Z",""
"avocadocat","5GLkhYK8m2U9CrAd7FScRbBG8RiJeAR9aRQBHjKdpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.163e-7","","","","","","2026-07-31T08:30:22.967Z",""
"things","76LN9i57LLfhamPtkNBMM1NZYawkExHaPMheTLZ3pump","76","0.98765432","","","","","","","0","0","0","","","0","0","920","0.98765432","0","0","1","0","0","4581.46","3","537.44","537.44","0.619","0.619","108","","0","0","1","0","0","","","","","","","0.000004581","0.000004581","","","","","","2026-07-31T08:30:29.071Z","2026-07-31T08:31:34.831Z","","","","",""
"FOMOINU","GTSmyWWWxWckTCpi5ah5CzxhfJ5eHf2BFUZR1D11uLcJ","63","2.971768202","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002156","","","","","","","2026-07-31T08:30:46.976Z","","","","","",""
"avocato","2DD7aegstYfnQKmwnsaHY5SnzQtbAqoCYeo3XrbDpump","57","2","","60.041","","","","","","","","","","","","","2","0","0","0","0","0","6940.55","3","10896.82","10896.82","0.589","0.589","196","","0","0","1","0","1","-18.731988472622472","","","","","","0.000006126","0.00000694","","","0.00000564","","","2026-07-31T08:30:47.028Z","2026-07-31T08:31:58.956Z","","","2026-07-31T08:32:58.997Z","",""
"NEARLY","HtUsQcnU38eHGKfS1JnkJkLyYmPXFCkCVKwN1xRVpump","63","2.962962961","","","","","","","0","0","-4.8","","","0","0","906","2.962962961","0","0","0","0","0","2163.59","3","1287.26","1287.26","0.619","0.619","-13.09","","0","0","1","0","0","","","","","","","0.000002163","0.000002163","","","","","","2026-07-31T08:30:59.000Z","2026-07-31T08:31:58.746Z","","","","",""
"pump.fun","DrxxTwF47Br6Ltw7xLr98TvbfRExPykewgV1D6mDpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.826e-7","","","","","","2026-07-31T08:30:59.009Z",""
"avocatdo","9FaqCD1RYP5LMujBAxAG3vuuEzrog4XDHu686Apnpump","58","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002165","","","","","","","2026-07-31T08:31:10.967Z","","","","","",""
