symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,peaked_after_exit,peak_after_exit_s,drag_at_ready,upside_from_ready,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"Mario","FDwTKUw9qT9ujuGVg6YQkiNVjQ9pbaqMJydhpvgYpump","60","2.500000001","","","","","","","18.3","110","-10.2","","","14.5","3.3","920","2.500000001","0","0","0","0","0","2606.36","3","257.19","257.19","0.8","0.8","2.69","","0","0","1","0","0","","","","","","","0.000002606","0.000002606","","","","","","2026-07-23T08:41:13.708Z","2026-07-23T08:42:19.421Z","","","","",""
"TMOCK","2V8XibH1nAJNyLVm9NJQyzxPzBNEFF7JrDr4MvHepump","67","0.150000001","","216.005","","","","","0","0","0","","","0","0","916","0.150000001","0","0","1","0","0","4911.81","3","156.5","156.5","0.619","0.619","125","","0","0","1","0","0","0","","","","","","0.000004911","0.000004911","","","0.000004911","","","2026-07-23T08:41:37.619Z","2026-07-23T08:42:43.419Z","","","2026-07-23T08:46:19.424Z","",""
"BKjimothy","VRnFF5h7ZfqU9hK73L1jXoRCySTPeTQpAV2qFQypump","68","0.200000001","","","","","","","17.1","210","-74.8","","","0.4","16.6","580","0.200000001","0","0","1","0","0","2425.23","3","22.1","22.1","1","1","10.63","","0","0","1","0","0","","","","","","","0.000002425","0.000002425","","","","","","2026-07-23T08:42:25.822Z","2026-07-23T08:42:49.425Z","","","","",""
"BIH","HGfTK6anDEUR4oSEQeeu4UhEUDFZo4ZQ1ku8kBaNpump","57","2","","83.981","","","","","","","","","","","","","2","0","0","0","0","0","2696.92","3","5391.25","5391.25","0.565","0.565","9.58","","0","0","1","0","0","-17.24777448071217","","","","","","0.000002369","0.000002696","","","0.000002231","","","2026-07-23T08:42:44.074Z","2026-07-23T08:43:55.635Z","","","2026-07-23T08:45:19.616Z","",""
"EPSILON","Bw2zGZo56GnrR2EggBaNBHjiADe9vzk8g4WxAaCopump","61","0.060000001","","18.009","","","","","161.3","106","0","","","57.1","66.3","916","0.060000001","0","1","1","0","0","9840.78","3","495.54","495.54","0.567","0.567","353","","0","0","1","0","0","-46.03658536585366","","","","","","0.000008647","0.00000984","","","0.00000531","","","2026-07-23T08:43:43.708Z","2026-07-23T08:44:43.420Z","","","2026-07-23T08:45:01.429Z","",""
"BullRun","23cXBACxpautuVcmTHahN2RW321KXbRJbqHvYn3qpump","72","0.500000001","","","","","","","0","0","0","","","0","0","908","0.500000001","0","0","1","0","0","2829.06","3","263.31","263.31","0.6","0.6","26.53","","0","0","1","0","0","","","","","","","0.000002829","0.000002829","","","","","","2026-07-23T08:44:25.681Z","2026-07-23T08:45:31.427Z","","","","",""
"GHOST","HUCBANPm6uDGnwxcvTAuinZq3sGp6TzsKQ1h6zappump","57","1.97530864","","","","","","","","","","","","","","","1.97530864","0","0","0","0","0","2475.34","3","161.41","161.41","1","1","0.69","","0","0","1","0","0","","","","","","","0.000002475","0.000002475","","","","","","2026-07-23T08:46:43.657Z","2026-07-23T08:47:55.430Z","","","","",""
"USOS","21rXgHqoWKUpXkCtGs9hmsSisa74HYSYU52AC9SFpump","60","2.469135801","","288.717","","","","","0","0","-4.4","","","0","0","916","2.469135801","0","0","0","0","0","3091","3","577.39","577.39","0.833","0.833","21.94","","0","0","1","0","0","-4.368932038834951","","","","","","0.000003088","0.00000309","","","0.000002955","","","2026-07-23T08:47:07.622Z","2026-07-23T08:48:13.489Z","","","2026-07-23T08:53:02.206Z","",""
"BlackBear","51mkSQHX2tn16Xfc3zhVGV74VuXmQkxneTXux4RBpump","57","1.97530864","","192.131","","","","","","","","","","","","","1.97530864","0","0","0","0","0","2201.41","3","1907.05","1907.05","0.583","0.583","-10.45","","0","0","1","0","0","-1.3175829168559772","","","","","","0.000002201","0.000002201","","","0.000002172","","","2026-07-23T08:47:13.664Z","2026-07-23T08:48:37.513Z","","","2026-07-23T08:51:49.644Z","",""
"BlackBear","5aM8YQq2YRiNB5CnMgv2JBTuDRyPgaANmaZD1ivZpump","57","1.97530864","","192.155","","","","","","","","","","","","","1.97530864","0","0","0","0","0","2268.02","3","1917.74","1917.74","0.636","0.636","-7.74","","0","0","1","0","0","-1.675485008818356","","","","","","0.000002268","0.000002268","","","0.00000223","","","2026-07-23T08:47:31.644Z","2026-07-23T08:48:49.490Z","","","2026-07-23T08:52:01.645Z","",""
"BlackBear","BeZnapkhqagSaJK1B8iZ124HPRkfcNsFm36DEnn5pump","57","1.97530864","","72.067","","","","","","","","","","","","","1.97530864","0","0","0","0","0","2192.49","5","1940.03","1940.03","0.577","0.577","-10.82","","0","0","1","0","0","-0.4105839416058316","","","","","","0.000002207","0.000002192","","","0.000002183","","","2026-07-23T08:47:37.648Z","2026-07-23T08:51:01.626Z","","","2026-07-23T08:52:13.693Z","",""
"Ancagalon","84LHZ6vKbPzgprAVWwAUQTwnfRYe5hPpifMyirFfpump","","","","","","","","","0.5","320","-17.6","","","0","0.5","910","2.962962961","0","0","0","0","0","2612.6","3","229.33","229.33","1","1","0","","0","0","1","0","0","","","","","","","","0.000002612","","","","","","","2026-07-23T08:47:49.432Z","","","","",""
"BlackBear","DnveKCydHngbWpR1Kh2618qg4FLCxhTdftBDisinpump","57","1.97530864","","","","","","","","","","","","","","","1.97530864","0","0","0","0","0","8795.18","3","5185.08","5185.08","0.667","0.667","258","","0","0","1","0","1","","","","","","","0.000002216","0.000008795","","","","","","2026-07-23T08:47:49.648Z","2026-07-23T08:49:25.653Z","","","","",""
"USOS","5xZnPtjxs6s2ALDyCwmw3AV1z9n1sQbjxmbZg2gNpump","63","3.950617282","","","","","","","1.4","46","-4","","","1.4","0","906","3.950617282","0","1","0","0","0","3330.87","4","888.6","888.6","0.667","0.667","20.18","","0","0","1","0","0","","","","","","","0.000003072","0.00000333","","","","","","2026-07-23T08:49:07.640Z","2026-07-23T08:51:13.635Z","","","","",""
"AWAWAWAWAW","9okjYUVB3zJcfTRZNETvsyvmmcYUPSrjJBvdjedgpump","58","2.962962961","","60.022","","","","","","","","","","","","","2.962962961","0","1","0","0","0","2529.95","6","8971.66","13499.27","0.55","0.558","-3.16","","0","0","1","0","0","-9.766706207987344","","","","","","0.000004821","0.000002529","","","0.000002282","","0.000002282","2026-07-23T08:49:37.757Z","2026-07-23T08:53:55.638Z","","","2026-07-23T08:54:55.660Z","2026-07-23T08:54:55.659Z",""
"MIS","E2pJAK1Yh3pdbhWTE5DdGGzR5yFYeRx5SGFWGw6Vpump","63","3","","36.064","","","","","0","0","-76","","","-40.8","0","412","3","0","0","0","0","0","11821.61","4","23919.85","23919.85","0.576","0.576","351","","0","0","1","0","1","-40.76142131979695","","","","","","0.00001088","0.00001182","","","0.000007002","","","2026-07-23T08:49:43.621Z","2026-07-23T08:51:37.639Z","","","2026-07-23T08:52:13.703Z","",""
"FUFU","2qwTg1aJRSa1cfkJpwvfeHn2EAoXBaYe3ip5PgQFpump","76","0.98765432","","","","","","","0","0","0","","","0","0","904","0.98765432","0","0","1","0","0","1479.26","5","1885.49","1885.49","0.679","0.679","-35.93","","0","0","1","0","0","","","","","","","0.000005101","0.000001479","","","","","0.000001479","2026-07-23T08:51:07.626Z","2026-07-23T08:54:25.478Z","","","","2026-07-23T08:55:43.641Z",""
"SITDOWN","7N9GorANnWc5bMe6wo4PkFiFKWzH74oK8QktbGPkpump","85","15.802469134","auto","","30.062","","","","14.4","204","-59.6","","","-2.9","17.9","904","15.802469134","0","0","0","0","0","9676.16","4","30966.6","30966.6","0.582","0.582","91.85","","0","0","1","0","1","","","","","","","0.00001088","0.000009676","0.000009392","","","","","2026-07-23T08:53:07.692Z","2026-07-23T08:55:25.425Z","2026-07-23T08:55:55.487Z","","","",""
"at","91TuBXymZXfRkB2UGcofho7kDEMNZNfofCQQ8MaKpump","77","2.000000001","","","","","","","0","0","0","","","0","0","918","2.000000001","0","2","1","0","0","9764.06","4","1397.19","1397.19","0.684","0.684","297","","0","0","1","0","0","","","","","","","0.000009766","0.000009764","","","","","","2026-07-23T08:54:13.622Z","2026-07-23T08:57:01.703Z","","","","",""
"GUGU","5tQwdfHoT7Zev4aT3FwbzzvF2Lvpoi5NatRAXyzjpump","79","1.97530864","","","","","","","0","0","0","","","0","0","918","1.97530864","0","1","1","0","0","4032.63","3","712.65","712.65","0.857","0.857","64.06","","0","0","1","0","0","","","","","","","0.000004025","0.000004032","","","","","","2026-07-23T08:54:43.699Z","2026-07-23T08:56:01.413Z","","","","",""
"ANSEM","ANZFfSaGrBFsZeRYs2ukgxaCb7Q95Pfmffn8kn7jpump","80","2.962962961","","","","","","","0","0","0","","","0","0","918","2.962962961","0","3","1","0","0","2299.18","4","1332.83","1332.83","0.552","0.552","-11.99","","0","0","1","0","0","","","","","","","0.000002284","0.000002299","","","","","","2026-07-23T08:55:19.623Z","2026-07-23T08:57:31.621Z","","","","",""
"cat","HqqhX8wYavZUNUbBWPvdSgFfLNpPZ2qA6YPm4s2dpump","60","2.4691358","","173.998","","","","","101.7","422","-17","","","45.7","38.4","912","2.4691358","0","0","0","0","0","5365.45","3","5552.34","5552.34","0.569","0.569","112","","0","0","1","0","1","10.549860205032607","","","","","","0.000003953","0.000005365","","","0.000005931","","","2026-07-23T08:57:37.697Z","2026-07-23T08:58:37.410Z","","","2026-07-23T09:01:31.408Z","",""
"ryok.net","hcWHdHtQhiH5YMZMKYZGEhzP9SU3hbjnAKyPfAtpump","61","0.059259258","","","","","","","0","0","0","","","0","0","912","0.059259258","0","1","1","0","0","3556.27","3","47.44","47.44","0.565","0.565","63.75","","0","0","1","0","0","","","","","","","0.000003556","0.000003556","","","","","","2026-07-23T08:58:01.726Z","2026-07-23T08:59:07.476Z","","","","",""
"KOTON","ANWKDScvv341EscxJcncjaqf3bEoJofTwcJH81ohpump","64","4.828531357","","","","","","","0.5","90","0","","","0","0.5","920","4.828531357","0","2","0","0","0","2198.38","5","953.35","953.35","0.559","0.559","-24.6","","0","0","1","0","0","","","","","","","0.000002432","0.000002198","","","","","","2026-07-23T08:59:13.621Z","2026-07-23T09:02:19.469Z","","","","",""
"Barney","GDfHju7PS5KEmrqTJXunwECqMaap73irg2sxhuhppump","63","3","","47.998","","","","","21.8","182","-73.7","","","-23.3","58.8","912","3","0","0","0","0","0","6832.71","3","16036.5","16036.5","0.592","0.592","161","","0","0","1","0","1","-23.316744730679154","","","","","","0.000004558","0.000006832","","","0.000005239","","0.000002814","2026-07-23T08:59:25.640Z","2026-07-23T09:00:37.410Z","","","2026-07-23T09:01:25.408Z","2026-07-23T09:05:19.407Z",""
"vexul","mkJtvB8s6a25c8mnAH5o7en1d4tg1rDLGkrkrB6BgXw","55","1.71","","","","","","","","","","","","","","","1.71","0","0","0","0","0","2341.47","3","750.67","750.67","0.667","0.667","-3.12","","0","0","1","0","0","","","","","","","0.000002163","0.000002341","","","","","","2026-07-23T08:59:43.671Z","2026-07-23T09:01:31.611Z","","","","",""
"VESPERFALL","4jEZbNjA1C4QjXsaEDorNq1nLyxgnZk9vFhzozbypump","67","4","","23.95","","","","","143.4","874","-10.4","","","-16.3","190.8","914","4","0","0","0","0","0","4724.9","3","10167.07","10167.07","0.613","0.613","70.05","","0","0","1","0","1","-16.27857747671464","","","","","","0.000004576","0.000004724","","","0.000003955","","","2026-07-23T09:00:55.735Z","2026-07-23T09:02:25.460Z","","","2026-07-23T09:02:49.410Z","",""
