symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,drag_at_ready,upside_from_ready,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"ANSEMOTHY","9ZRpYVJqSjDH3xAe4SAjPkxqu9THLJV7A6HF1ef5pump","73","5.866666665","","18.132","","","","","0","0","-54.4","-54.3","0.3","916","5.866666665","0","0","0","0","0","5197.04","3","1681.72","1681.72","0.75","0.75","66.94","","0","0","1","0","1","-38.42601500865885","","","","","","0.000005197","0.000005197","","","0.0000032","","","2026-07-21T17:29:02.017Z","2026-07-21T17:30:01.872Z","","","2026-07-21T17:30:20.004Z","",""
"起居","3y35x3bBtSvpB3PayM6Ez9DFyxfFsvavQiJCAut3pump","58","2.962962961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002217","","","","","","","2026-07-21T17:29:13.972Z","","","","","",""
"d","6Ry6nihMJUAoQVVetKa3zcw4D3jmUZukzCP7DET3pump","82","3.950617282","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000007447","","","","","","","2026-07-21T17:29:26.017Z","","","","","",""
"Vibes","41tDoUtrBtkYsh1f5Xzy7vXTh9dxRepg3umUwJ5Epump","63","3","","54.453","","","","","79.2","566","-34.6","4.1","72.2","906","3","0","0","0","0","0","4840.6","3","4556.94","4556.94","0.655","0.655","83.68","","0","0","1","0","1","-9.999999999999998","","","","","","0.000003812","0.00000484","","","0.000004356","","","2026-07-21T17:29:26.068Z","2026-07-21T17:30:31.769Z","","","2026-07-21T17:31:26.222Z","",""
"HYPERGAMY!","BsZbbWdZ2nJpFJpMUs8oWKXyiPe5ruVo7oUmjEhrpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.027e-8","","","","","","2026-07-21T17:29:31.962Z",""
"OXYGEN","F4H7hKvurckpkJWGPFzNR1qC2rGsX357C3rUoFqcpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.33e-7","","","","","","2026-07-21T17:29:43.957Z",""
"Dong Ding","CCSGEJM5hiPLPcWPnjRaUv9h7KrnbqMvaoCYTZXCpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.62e-7","","","","","","2026-07-21T17:29:50.167Z",""
"BUDDY","87GopqDZwaWuMh91vSUAZQSAe67kXehoPVNdwp4opump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002285","","","","","","","2026-07-21T17:29:56.006Z","","","","","",""
"MTRUMP","21drSjFxPS3WrWjrd8QKWu6NDai4zFeQHRsVLACfpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.773e-7","","","","","","2026-07-21T17:29:56.044Z",""
"起居","64Mx3UqYkH9CgAaqRd4dB8eHQKfF4sXvSK1ZUdbJpump","56","2.962962961","","","","","","","","","","","","","2.962962961","0","2","0","0","0","2215.66","4","1182.15","1182.15","0.571","0.571","-15.67","","0","0","1","0","0","","","","","","","0.000002222","0.000002215","","","","","","2026-07-21T17:30:02.081Z","2026-07-21T17:32:08.110Z","","","","",""
