symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"LILY LU","9S5zpxACdtG9RcxcRM53opbpcgkUvHcZNX4jZSTbpump","75","5","","","","","","","","","","","","","0.000002411","0.000002411","","","","","","2026-07-04T17:18:33.732Z","2026-07-04T17:19:32.773Z","","","","",""
"ONBOARD","3kdX6ufkAhBzUBJtYUvSnjio4gWaiBSqU7wd4VRfs8x5","71","3","","","","","","","","","","","","","0.000002357","","","","","","","2026-07-04T17:18:39.598Z","","","","","",""
"SMILEDOG","7B1JEhHgz6Depj6og3ey72M1g2vmApyfvZQufbTmvuAs","72","4.938271603","","","","","","","","","","","","","0.000002295","","","","","","","2026-07-04T17:18:45.681Z","","","","","",""
"Kevin","5j8UzKcM9yQMTdhi4Cmct5oy4qYjTfnRFwp5n4u4dhXD","70","4.938271603","","","","","","","","","","","","","0.000002295","","","","","","","2026-07-04T17:19:09.581Z","","","","","",""
"CASE","FCMEzQWhush6wBjcq1X48gqxHQuv1JkVxhMtRuAzpump","73","3.456790122","","","","","","","","","","","","","0.000004388","","","","0.000002398","","","2026-07-04T17:19:21.587Z","","","","2026-07-04T17:20:33.029Z","",""
"ROBINHOODDICK","5cmuu8hoQA8qkngYZz1P82ZjtHLwKGebeQ7cxf6tpump","","","","","","","","","","","","","","","","","","","","","0.000002354","","","","","","2026-07-04T17:19:27.967Z",""
"Kevin","2YmG59YuD54e2XqsGk69XUinFT351ocdsjtGsKkZpump","79","4.938271603","","","","","","","","","","","","","0.000002389","","","","","","","2026-07-04T17:19:28.403Z","","","","","",""
"Trumpmore","8aQqTpxDuR5bU5xwFrmhStHaNqFRivFfSBG3avLUpump","72","5","","","","","","","","","","","","","0.000002303","","","","","","","2026-07-04T17:19:39.635Z","","","","","",""
"ROBINHOOD","22izU3rNvKjuahQicAQuPeq2aDBhAjf6AQp6y2Yypump","71","2.962962961","","","","","","","","","","","","","0.000002295","","","","","","","2026-07-04T17:19:51.589Z","","","","","",""
"Kevin","5egU8WzzcbPyossqsRVhuqf8B3ButbgnoN7c2t52arPt","","","","","","","","","","","","","","","","","","","","","0.00000244","","","","","","2026-07-04T17:20:04.028Z",""
"Kevin","6gz5WXokSPdSdrbzKwFeeELAoVe4NZyVSW6hWLXXpump","79","5","","","","","","","","","","","","","0.000002312","","","","0.000002312","","","2026-07-04T17:20:04.378Z","","","","2026-07-04T17:20:38.997Z","",""
"Kevin","CZsfu5CBUDkeVfY8kN2pRay7iZP17mHwKbpDyRgGpump","75","3.950617282","","","","","","","","","","","","","0.000002339","","","","","","","2026-07-04T17:20:09.678Z","","","","","",""
"RHDF","ByPHRqDjFCtiWv5mRUuQ2oaLRtyKHgc9qz8gWjrppump","71","3","","","","","","","","","","","","","0.000002312","","","","","","","2026-07-04T17:20:27.764Z","","","","","",""
"McSenator","9niLUfN8xb6xFEuHdGrp3RQBA14Zqkga4bpdcQdbpump","70","5","","","","","","","","","","","","","0.000002304","","","","","","","2026-07-04T17:20:33.604Z","","","","","",""
"WIFBULL","21M7nNyBn4naXbd8sjyfEsUuAFia2szXAcXvyhrhpump","","","","","","","","","","","","","","","","","","","","","0.000002313","","","","","","2026-07-04T17:20:57.599Z",""
