symbol,mint,score,devSol,source,window_s,decision_s,reaction_s,hold_s,inTime,upside_pct,time_to_peak_s,dd_after_peak,peaked_after_exit,peak_after_exit_s,drag_at_ready,upside_from_ready,tracked_s,f_devSol,f_priorGrads,f_priorCount,f_isMayhem,f_liq,f_liqSol,f_fdv,f_ageMin,f_vol5m,f_volH1,f_buyRatio5m,f_buyRatioH1,f_pcH1,f_volLiq,f_hasSocials,f_hasWebsite,f_nPairs,f_boosts,f_passedFilter,move_window_pct,slip_to_buy_pct,after_buy_pct,pnlPct,peakPnlPct,exitReason,price_eligible,price_sustained,price_queued,price_bought,price_fading,price_sold,price_collapsed,t_eligible,t_sustained,t_queued,t_bought,t_fading,t_collapsed,t_sold
"XueqinJian","J6wb1qWaSXgwvgnfzAsBAskxJryMfzNWMWpXgTCEpump","71","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002126","","","","","","","2026-08-03T13:16:18.970Z","","","","","",""
"Onyx","FLnZaxTLthZpC5NuP6GZL3qw3gDtvJr8PWeGUv89pump","73","0.62","","","","","","","0.3","132","0","","","0","0.3","902","0.62","0","0","1","0","0","28199.44","3","2420.47","2420.47","0.632","0.632","1237","","0","0","1","0","0","","","","","","","0.00002818","0.00002819","","","","","","2026-08-03T13:16:24.820Z","2026-08-03T13:17:24.609Z","","","","",""
"aura","DHvrQzPiBp6UvYt8kTohiBDk83AAVh6iJtzeYC4mpump","71","5","auto","","30.087","5.172","47.926","n/a","30.9","46","-51.8","no","","20.5","8.6","906","5","0","0","0","0","0","15840.87","3","27804.24","27804.24","0.585","0.585","475","","1","0","1","0","1","","20.612854001536476","","-13.46","8.51","BREAK_EVEN_SL","0.0000147","0.00001584","0.00001908","0.00001910507607384338","","0.00001903","","2026-08-03T13:16:24.833Z","2026-08-03T13:17:30.605Z","2026-08-03T13:18:00.692Z","2026-08-03T13:18:05.864Z","","","2026-08-03T13:18:53.790Z"
"dog","EhXgrCx5U6wDYQhyJ8UD3GdPsshRk2CR2bRbn8y9pump","71","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002095","","","","","","","2026-08-03T13:16:24.834Z","","","","","",""
"aura","2SJrpDuJhnmBZ7Qc26VTJahjdpNDmq3CDesr8gbJpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002154","","","","","","","2026-08-03T13:16:36.807Z","","","","","",""
"aura","9Xkps7xvUehnYJsQXZws1aU4dsRn8txEkT8xyMqepump","71","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002126","","","","","","","2026-08-03T13:16:48.895Z","","","","","",""
"CRYPTOSEXUAL","FbDDq8jXRdfh3bXXSnvC5kaxGTSnMgzF2iG24VUspump","63","2.962962961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002228","","","","","","","2026-08-03T13:16:48.929Z","","","","","",""
"OTTO","6xEFAjm1HjhWiwzphAHevMb7Kj1MvRE246nZQ5Xfpump","57","1.97530864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002154","","","","","","","2026-08-03T13:17:00.797Z","","","","","",""
"AURA","9yrAq2vSqm2GgvoN569ZfGe56xuefCqU2r89immcpump","63","2.962962961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002155","","","","","","","2026-08-03T13:17:12.827Z","","","","","",""
"JANE","FkCagxdPiggYFFz5WV1JhTP8TCCUcSnRpnxrDQfPpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.598e-7","","","","","","2026-08-03T13:17:18.883Z",""
"Onyx","48dd7NFHF8rKx6p4Qx5pAknVTWxWUx91QWAm7wqipump","69","0.62","","","","","","","0","0","0","","","0","0","908","0.62","0","1","1","0","0","1759.12","3","314.07","314.07","0.591","0.591","-16.64","","0","0","1","0","0","","","","","","","0.000001759","0.000001759","","","","","","2026-08-03T13:17:18.914Z","2026-08-03T13:18:48.808Z","","","","",""
"CORGI","3iEb53WiF5uscQZNu5TtkP1xPvXX72qTBDy3JXcsesZT","70","4.938271603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002116","","","","","","","2026-08-03T13:17:24.971Z","","","","","",""
"RelaxedGuy","8RipDV2smF4e77TK5pz7UpBxT5TYsgmQ9Mg3GG8GeppX","67","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.00000204","","","","","","","2026-08-03T13:17:24.972Z","","","","","",""
"雪琴","4wdnJVvXAp3ZRZK1GPPrD4q7HghS3xD95Fef7LHSpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002118","","","","","","","2026-08-03T13:17:30.849Z","","","","","",""
"WIF","FUuXVbc61ZKtGZ7fD4JtoFy2RqtUjcxgijXerq2Gpump","57","1.97530864","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002027","","","","","","","2026-08-03T13:17:30.849Z","","","","","",""
"DOGEWIFHAT","5i5HdYXdYispk9KWzrmbcbik38pY9GcqzpMsx1Rwpump","88","19.753086418","","","","","","","24.7","134","-78.4","","","6.3","17.3","334","19.753086418","0","0","0","0","0","7735.02","3","2765.78","2765.78","0.793","0.793","38.76","","0","0","1","0","0","","","","","","","0.000007471","0.000007735","","","","","","2026-08-03T13:17:48.866Z","2026-08-03T13:19:12.869Z","","","","",""
"Onyx","9pzRUYpwiKmubu1pToVrt6eLJDn1gMHmv9SRaNsCpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.248e-7","","","","","","2026-08-03T13:17:48.937Z",""
"CRYPTOSEXUAL","7ZVebuFeZyc37j6Cmm89tow4kCZoWuvF25zhHZXypump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002128","","","","","","","2026-08-03T13:17:54.815Z","","","","","",""
"Underdog","HC37cQQzuKG2evdnjuaLRpr5rNW8ewLMBSBAuNDuLHff","66","4.938271603","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002086","","","","","","","2026-08-03T13:18:00.792Z","","","","","",""
"UNDERDOG⁠","3bpSnjfyeJdXaeTLSkgrLoayZPAs6n6wjR3cN5PRpump","69","5.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002051","","","","","","","2026-08-03T13:18:00.871Z","","","","","",""
"LIKDAPUSS","6ZWz9Na5hNvZQxpFVwB3ogo5ubUX9rRV3KPby5LMpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.636e-8","","","","","","2026-08-03T13:18:12.767Z",""
"Israelman","4n3AL4KiP7CbMSEtcSQAJjf5ErgZBixqNVmgqFLSpump","67","3.901234566","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002034","","","","","","","2026-08-03T13:18:12.791Z","","","","","",""
" ","Hhr182Xb9MLnL2vX98jX3FMMKvYELH61vc6EgQmzpump","63","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002028","","","","","","","2026-08-03T13:18:18.837Z","","","","","",""
"Onyx","6U88Bjy4VQXV6yNmhTMRuW4qwQqwbQ4UpAjCK7iWpump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.366e-7","","","","","","2026-08-03T13:18:24.861Z",""
"JWATSON","F217vFravy4Yb3q4k3eXYL5TJ7KUNnz2RjVujag6pump","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.851e-7","","","","","","2026-08-03T13:18:30.834Z",""
"FUD","22gUxNhgq92NVmHwEMwifBE6Zio2RwJbVrYEoqJ5pump","67","3.85185185","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.000002129","","","","","","","2026-08-03T13:18:36.815Z","","","","","",""
